HVAC Name,HVAC Efficiency,Number of Speeds,Capacity Ratio 1,Air Flow Ratio 1,COP 1,Capacity Ratio 2,Air Flow Ratio 2,COP 2,Received From,SHR 1,SHR 2,Capacity Ratio 3,Air Flow Ratio 3,COP 3,Capacity Ratio 4,Air Flow Ratio 4,COP 4,SHR 3,SHR 4
MSHP Cooler,33.0 SEER,4,0.48889,0.52941,10.26831,0.66667,0.64706,8.87966,testing_500 - bldg0000183,0.86256,0.7987,0.84444,0.76471,7.45227,1.2,1,5.49732,0.75709,0.70255
MSHP Heater,8.2 HSPF,4,0.4,0.55556,4.19929,0.6,0.66667,3.36672,testing_500 - bldg0000120,,,0.8,0.77778,3.08195,1.2,1,2.79114,,
MSHP Heater,9.2 HSPF,4,0.4,0.55556,5.14266,0.6,0.66667,3.96,Manual,,,0.8,0.77778,3.53,1.2,1,3.11,,
MSHP Heater,9.5 HSPF,4,0.4,0.55556,5.14266,0.6,0.66667,4.12161,testing_500 - bldg0000378,,,0.8,0.77778,3.77355,1.2,1,3.41917,,
MSHP Heater,11.0 HSPF,4,0.4,0.55556,4.55,0.6,0.66667,4.36,Manual,,,0.8,0.77778,4.17,1.2,1,3.98,,
MSHP Heater,13.0 HSPF,4,0.4,0.55556,7.893351479,0.6,0.66667,6.282661747,Manual,,,0.8,0.77778,5.758473142,1.2,1,5.2460162,,
MSHP Heater,13.3 HSPF,4,0.4,0.55556,7.74616,0.6,0.66667,6.20218,testing_500 - bldg0000183,,,0.8,0.77778,5.68075,1.2,1,5.15429,,
MSHP Heater,14.0 HSPF,4,0.4,0.55556,8.399982335,0.6,0.66667,6.724045293,Manual,,,0.8,0.77778,6.159368877,1.2,1,5.590475552,,
Gas Furnace,80 AFUE,2,0.65,0.80,0.78,1,1,0.80,Manual,,,,,,,,,,
Gas Furnace,90 AFUE,2,0.65,0.80,0.88,1,1,0.90,Manual,,,,,,,,,,
Air Conditioner,14.0 SEER,1,1,1,4.103,,,,AHRI 210/240-2023 nominal COP = SEER/3.413,,,,,,,,,,
