Boundary Name,Boundary Type,Finish Type,Construction Type,Insulation Details,Received From,Assembly R Value
Floor,"4ft R5 Perimeter, R5 Gap",,,4ft R5 Perimeter,Minimal_slab_4ftR5_R5G,1.5863776912
Floor,Minimal,,,Minimal,Fully_minimal (OLD),88.1373279196
Floor,R500 Whole Slab,,,R500 Whole Slab,Fully_minimal (OLD),88.1373279196
Floor,"R10 Whole Slab, R5 Gap",,,R10 Whole Slab,Minimal_slab_wholeR10_R5G,2.6137700331
Floor,Uninsulated,,,Uninsulated,Minimal_slab_unins,0.9701322097
Foundation Ceiling,Ceiling R-13,,,Ceiling R-13,res3.1_national_300 - bldg0000069,2.8102748740
Foundation Ceiling,Ceiling R-19,,,Ceiling R-19,res3.1_national_300 - bldg0000011,3.6545899129
Foundation Ceiling,Ceiling R-30,,,Ceiling R-30,res3.1_ochre_500 - bldg0000026,5.0120090222
Foundation Ceiling,Ceiling R-38,,,Ceiling R-38,res3.1_ochre_500 - bldg0000002,5.8576203860
Foundation Ceiling,Uninsulated,,,Uninsulated,res3.1_national_300 - bldg0000002,0.6093210238
Foundation Floor,Minimal,,,Minimal,"copied from Floor, Minimal",88.1373279196
Foundation Floor,Uninsulated,,,Uninsulated,"copied from Floor, Uninsulated",0.9701322097
Foundation Furniture,Standard,,,,res3.1_national_300 - bldg0000002,1.3198202218
Foundation Wall,"CS,  Half Wall R10",,Crawlspace,Half R10,Copied from Unfinished Basement,0.8387187405
Foundation Wall,"CS,  Half Wall R5",,Crawlspace,Half R5,Copied from Unfinished Basement,0.7457289250
Foundation Wall,"CS,  Uninsulated",,Crawlspace,Uninsulated,Copied from Unfinished Basement,0.6939937583
Foundation Wall,"CS,  Whole Wall R10",,Crawlspace,R10,Copied from Unfinished Basement,2.0916453547
Foundation Wall,"CS,  Whole Wall R13",,Crawlspace,R13,Minimal_crawlspace_R13 (Denver),2.6197269960
Foundation Wall,"CS,  Whole Wall R15",,Crawlspace,R15,Minimal_crawlspace_R15 (Denver),2.9716903176
Foundation Wall,"CS,  Whole Wall R20",,Crawlspace,R20,Copied from Unfinished Basement,3.8522937640
Foundation Wall,"CS,  Whole Wall R5",,Crawlspace,R5,Copied from Unfinished Basement,1.2798755141
Foundation Wall,"FB, R10",,Finished Basement,R10,"Copied from FB, R5",2.1708681943
Foundation Wall,"FB, R13",,Finished Basement,R13,Minimal_fin_basement_R13,2.0034034198
Foundation Wall,"FB, R15",,Finished Basement,R15,Minimal_fin_basement_R15,3.0511924007
Foundation Wall,"FB, R18",,Finished Basement,R18,Minimal_fin_basement_R13_R5XPS,2.2950678685
Foundation Wall,"FB, R5",,Finished Basement,R5,Minimal_fin_basement_R5,1.2905439903
Foundation Wall,"FB, Uninsulated",,Finished Basement,Uninsulated,Minimal_fin_basement_unins,0.6939779380
Foundation Wall,"UB, Half Wall R10",,Unfinished Basement,Half R10,Minimal_basement_halfwall_R10,0.8387187405
Foundation Wall,"UB, Half Wall R5",,Unfinished Basement,Half R5,Minimal_basement_halfwall_R5,0.7457289250
Foundation Wall,"UB, Uninsulated",,Unfinished Basement,Uninsulated,Minimal_basement_ceiling_R13,0.6939937583
Foundation Wall,"UB, Whole Wall R10",,Unfinished Basement,R10,Minimal_basement_wholewall_R10,2.0916453547
Foundation Wall,"UB, Whole Wall R13",,Unfinished Basement,R13,Minimal_unfin_basement_R13 (Denver),1.6208310918
Foundation Wall,"UB, Whole Wall R15",,Unfinished Basement,R15,Minimal_unfin_basement_R15 (Denver),2.9716903176
Foundation Wall,"UB, Whole Wall R20",,Unfinished Basement,R20,Minimal_basement_wholewall_R20,3.8522937640
Foundation Wall,"UB, Whole Wall R5",,Unfinished Basement,R5,Minimal_basement_wholewall_R5,1.2798755141
Garage Attached Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, R-7",MF_300 - bldg0000036,1.5212167960
Garage Attached Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",brick veneer,ConcreteMasonryUnit,"6-in Hollow, R-15",MF_300 - bldg0000189,2.5249893942
Garage Attached Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-11",none,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_national_300 - bldg0000094,1.9438098749
Garage Attached Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",stucco,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_national_300 - bldg0000235,1.9788161494
Garage Attached Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",stucco,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_national_300 - bldg0000053,1.4508064423
