Time,Vehicle 1,Vehicle 2,Vehicle 3,Vehicle 4,Vehicle 5,Vehicle 6,Vehicle 7,Vehicle 8,Vehicle 9,Vehicle 10,Vehicle 11,Vehicle 12,Vehicle 13,Vehicle 14,Vehicle 15,Vehicle 16,Vehicle 17,Vehicle 18,Vehicle 19,Vehicle 20,Vehicle 21,Vehicle 22,Vehicle 23,Vehicle 24,Vehicle 25,Vehicle 26,Vehicle 27,Vehicle 28,Vehicle 29,Vehicle 30,Vehicle 31,Vehicle 32,Vehicle 33,Vehicle 34,Vehicle 35,Vehicle 36,Vehicle 37,Vehicle 38,Vehicle 39,Vehicle 40,Vehicle 41,Vehicle 42,Vehicle 43,Vehicle 44,Vehicle 45,Vehicle 46,Vehicle 47,Vehicle 48,Vehicle 49,Vehicle 50
10/10/10 9:30,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 9:40,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 9:50,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 10:00,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 10:10,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 10:20,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 10:30,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,1920,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 10:40,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,1920,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 10:50,0,0,0,0,0,0,0,0,0,0,0,1920,1920,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 11:00,0,0,0,0,0,0,0,0,0,0,0,1920,1920,0,0,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 11:10,0,0,0,0,0,0,0,0,0,0,0,1920,1920,0,0,0,1920,0,0,0,0,0,1920,0,1920,0,0,0,0,0,1920,0,0,0,0,0,0,0,1920,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 11:20,0,0,0,0,0,0,0,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,1920,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 11:30,0,0,0,0,0,0,0,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,1920,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,0,1920,0,0,0,0
10/10/10 11:40,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,0,1920,1920,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,1920,1920,1920,0,1920,0,0,0,0
10/10/10 11:50,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,0,0,1920,0,0,1920,0,0,0,0,1920,1920,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,1920,1920,1920,0,1920,0,0,0,0
10/10/10 12:00,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,0,0,1920,0,1920,0,0,0,0,0,1920,1920,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,0,0
10/10/10 12:10,0,0,0,0,0,0,0,1920,0,0,0,1920,0,0,0,0,1920,0,1920,0,0,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,1920,1920,0,1920,0,0
10/10/10 12:20,0,0,0,0,1920,0,1920,1920,0,0,0,1920,0,0,0,0,1920,0,1920,0,0,0,0,0,1920,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,0,1920,1920,0,1920,0,0
10/10/10 12:30,0,0,0,0,1920,0,1920,0,0,0,0,1920,0,0,0,0,1920,0,1920,0,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,0,0,0,0,1920,0,0
10/10/10 12:40,0,0,0,0,1920,0,1920,1920,0,0,0,1920,0,0,0,0,1920,0,1920,0,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,0,0,0,0,1920,0,0
10/10/10 12:50,0,0,1920,0,1920,0,1920,1920,0,0,1920,1920,0,0,0,0,1920,0,0,0,1920,0,0,0,1920,1920,0,1920,0,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0,0,0,1920,0,0
10/10/10 13:00,0,0,1920,0,1920,1920,1920,1920,0,0,1920,1920,1920,0,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,1920,0,1920,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0,0,0,1920,0,0
10/10/10 13:10,0,0,1920,0,1920,1920,1920,1920,0,0,1920,1920,1920,1920,0,0,0,0,0,0,0,0,0,0,1920,1920,0,1920,0,1920,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0,0,0,1920,0,0
10/10/10 13:20,0,0,1920,0,1920,1920,1920,1920,0,0,1920,1920,1920,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,1920,0,1920,0,0,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 13:30,0,0,1920,0,1920,1920,1920,1920,0,0,1920,1920,1920,1920,0,0,1920,0,0,0,0,0,1920,0,1920,1920,0,1920,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 13:40,0,0,1920,0,1920,1920,1920,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,1920,1920,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 13:50,0,0,1920,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,1920,1920,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 14:00,0,0,1920,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,1920,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 14:10,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,1920,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 14:20,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,1920,1920,0,0,0,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 14:30,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,1920,1920,0,0,0,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 14:40,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,0,1920,0,0,0,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 14:50,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,1920,0,0,1920,0,0,0,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 15:00,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,0,0,0,0,0
