Time,Total Electric Power (kW),Total Gas Power (therms/hour),Total Reactive Power (kVAR),Gas Furnace Electric Power (kW),Gas Furnace Gas Power (therms/hour),Air Conditioner Electric Power (kW),Electric Resistance Water Heater Electric Power (kW),Clothes Washer Electric Power (kW),Clothes Dryer Electric Power (kW),Dishwasher Electric Power (kW),Refrigerator Electric Power (kW),Cooking Range Electric Power (kW),Exterior Lighting Electric Power (kW),Indoor Lighting Electric Power (kW),TV Electric Power (kW),MELs Electric Power (kW),PV Electric Power (kW),Battery Electric Power (kW),EV Electric Power (kW),Temperature - Indoor (C),Unmet HVAC Load (C),Gas Furnace Mode (-),Gas Furnace Setpoint (C),Air Conditioner Mode (-),Air Conditioner Setpoint (C),Electric Resistance Water Heater Mode (-),Electric Resistance Water Heater Setpoint (C),Clothes Washer Mode (-),Clothes Dryer Mode (-),Dishwasher Mode (-),Refrigerator Mode (-),Cooking Range Mode (-),Exterior Lighting Mode (-),Indoor Lighting Mode (-),TV Mode (-),MELs Mode (-),PV Mode (-),Battery Mode (-),Battery SOC (-),EV Mode (-),EV SOC (-)
2019-01-01T05:00:00-07:00,0.40727780253552187,0.0,0.24917113895986742,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,0.0,0.012456996984649119,0.07760258934921763,0.010191780821917807,0.2423342465753424,0.0,-0.03886624208928535,0.0,13.417732195525137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T05:15:00-07:00,0.4042226611017022,0.0,0.24917113895986742,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,0.0,0.012456996984649119,0.07760258934921763,0.010191780821917807,0.2423342465753424,0.0,-0.041921383523105024,0.0,13.285340694915032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T05:30:00-07:00,1.2744764210435926,0.0,0.24917113895986742,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,1.0,0.012456996984649119,0.07760258934921763,0.010191780821917807,0.2423342465753424,0.0,-0.17166762358121468,0.0,13.158891165016318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T05:45:00-07:00,1.2625659274244907,0.0,0.24917113895986742,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0535584308936803,1.0,0.012456996984649119,0.07760258934921763,0.010191780821917807,0.2423342465753424,0.0,-0.1835781172003166,0.0,13.040923766485928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T06:00:00-07:00,0.4596991799138438,0.0,0.2639189755206252,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05653389927666255,0.0,0.014054047880116953,0.1293376489153627,0.016986301369863014,0.25579726027397254,0.0,-0.06300997780213399,0.0,12.935494368759887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T06:15:00-07:00,0.4555415591267033,0.0,0.2639189755206252,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05653389927666255,0.0,0.014054047880116953,0.1293376489153627,0.016986301369863014,0.25579726027397254,0.0,-0.0671675985892745,0.0,12.83579884249163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T06:30:00-07:00,0.45133506880294205,0.0,0.2639189755206252,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05653389927666255,0.0,0.014054047880116953,0.1293376489153627,0.016986301369863014,0.25579726027397254,0.0,-0.07137408891303576,0.0,12.73923355528754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T06:45:00-07:00,0.4470390795730693,0.0,0.2639189755206252,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05653389927666255,0.0,0.014054047880116953,0.1293376489153627,0.016986301369863014,0.25579726027397254,0.0,-0.07567007814290852,0.0,12.650455337305313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T07:00:00-07:00,0.4960539315426971,0.0,0.28149673612808646,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05950936765964479,0.0,0.013095817342836253,0.1638276886261261,0.02547945205479452,0.2759917808219177,0.0,-0.09185017496262231,0.0,12.573613677871583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T07:15:00-07:00,0.4907876088621056,0.0,0.28149673612808646,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05950936765964479,0.0,0.013095817342836253,0.1638276886261261,0.02547945205479452,0.2759917808219177,0.0,-0.09711649764321384,0.0,12.502813296488446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T07:30:00-07:00,0.4313830629663516,0.0,0.28149673612808646,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05950936765964479,0.0,0.013095817342836253,0.1638276886261261,0.02547945205479452,0.2759917808219177,0.06740864259086132,-0.08911240094810652,0.0,12.44206508322646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T07:45:00-07:00,0.4192782155283048,0.0,0.28149673612808646,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05950936765964479,0.0,0.013095817342836253,0.1638276886261261,0.02547945205479452,0.2759917808219177,0.0764837537986902,-0.09214213717832441,0.0,12.38656476228301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T08:00:00-07:00,0.4313455931417606,0.0,0.28487802716979577,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06099710185113591,0.0,0.009901715551900581,0.1767614535176624,0.03397260273972603,0.28272328767123284,0.0811201123062492,-0.10189045588364806,0.0,12.334873525262726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T08:15:00-07:00,0.41389411507786067,0.0,0.28487802716979577,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06099710185113591,0.0,0.009901715551900581,0.1767614535176624,0.03397260273972603,0.28272328767123284,0.09706750848171661,-0.10339453777208055,0.0,12.28948469601692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T08:30:00-07:00,-0.09007453028817969,0.0,0.28487802716979577,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06099710185113591,0.0,0.009901715551900581,0.1767614535176624,0.03397260273972603,0.28272328767123284,0.7094306916198375,0.005,0.0,12.303202769328234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T08:45:00-07:00,-0.08227063159819437,0.0,0.28487802716979577,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06099710185113591,0.0,0.009901715551900581,0.1767614535176624,0.03397260273972603,0.28272328767123284,0.7016267929298522,0.005,0.0,12.311211065049156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T09:00:00-07:00,-0.07676182426583489,0.0,0.2829615660952344,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06099710185113591,0.0,0.007985254477339178,0.1767614535176624,0.04246575342465753,0.28272328767123284,0.7026946752078628,0.005,0.0,12.3168901130747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
